PARK,X_COORD,Y_COORD
HAMILTON (ALEXANDER),-87.63769763,41.76299921
HAMILTON (ALEXANDER),-87.63792903,41.76281652
HAMILTON (ALEXANDER),-87.6369136,41.76084939
HAMILTON (ALEXANDER),-87.63832013,41.76200536
HAMILTON (ALEXANDER),-87.63805917,41.76047385
HAMILTON (ALEXANDER),-87.63674047,41.76111277
HAMILTON (ALEXANDER),-87.6359055,41.76192462
HAMILTON (ALEXANDER),-87.63686292,41.76261984
HAMILTON (ALEXANDER),-87.63660515,41.76312825
HAMILTON (ALEXANDER),-87.63842975,41.76119856
HAMILTON (ALEXANDER),-87.63700302,41.76191238
HAMILTON (ALEXANDER),-87.63562215,41.76304673
HAMILTON (ALEXANDER),-87.63583037,41.76303855
HAMILTON (ALEXANDER),-87.63601325,41.76303966
HAMILTON (ALEXANDER),-87.63617087,41.76304534
HAMILTON (ALEXANDER),-87.63634114,41.76304637
HAMILTON (ALEXANDER),-87.63635087,41.76273006
HAMILTON (ALEXANDER),-87.63616168,41.76272891
HAMILTON (ALEXANDER),-87.63599771,41.76272792
HAMLIN (HANNIBAL),-87.68030436,41.93675715
HAMLIN (HANNIBAL),-87.67917787,41.93654865
HAMLIN (HANNIBAL),-87.6803291,41.93604308
HAMLIN (HANNIBAL),-87.67982968,41.93748111
HAMLIN (HANNIBAL),-87.68024831,41.93708948
HAMLIN (HANNIBAL),-87.67866498,41.93696155
HAMLIN (HANNIBAL),-87.67962215,41.9362163
HAMLIN (HANNIBAL),-87.68022838,41.93736145
HAMLIN (HANNIBAL),-87.67930194,41.93748911
HAMLIN (HANNIBAL),-87.67961856,41.93690964
HAMLIN (HANNIBAL),-87.67866522,41.93625516
HAMLIN (HANNIBAL),-87.6803932,41.9362624
HAMLIN (HANNIBAL),-87.68021162,41.93626658
HANSBERRY (LORRAINE),-87.62029752,41.79189638
HARDING (FREDERICK),-87.72480189,41.90240853
HARDING (GEORGE),-87.61835789,41.80501455
HARDING (GEORGE),-87.61836672,41.80554793
HARDING (GEORGE),-87.61843219,41.80521388
HARRIS (HARRIET),-87.60489798,41.78173674
HARRIS (HARRIET),-87.60471883,41.78152949
HARRIS (HARRIET),-87.60502579,41.78187183
HARRIS (HARRIET),-87.6045968,41.78210575
HARRIS (RYAN) MEMORIAL,-87.64006584,41.77193031
HARRIS (RYAN) MEMORIAL,-87.63986646,41.77211472
HARRISON (CARTER),-87.67161219,41.85742609
HARRISON (CARTER),-87.67187495,41.85741698
HARRISON (CARTER),-87.6747192,41.8568405
