the_geom,OBJECTID,PARK,PARK_NO,FACILITY_N,FACILITY_T,X_COORD,Y_COORD,GISOBJID
POINT (-87.63769762610774 41.76299921150538),1066,HAMILTON (ALEXANDER),9,CULTURAL CENTER,SPECIAL,-87.63769763,41.76299921,2494
POINT (-87.63792902986393 41.76281652412861),1067,HAMILTON (ALEXANDER),9,GYMNASIUM,INDOOR,-87.63792903,41.76281652,2495
POINT (-87.6369135995209 41.760849390119155),1068,HAMILTON (ALEXANDER),9,BASEBALL JR/SOFTBALL,OUTDOOR,-87.6369136,41.76084939,2496
POINT (-87.63832013450022 41.76200535623339),1069,HAMILTON (ALEXANDER),9,BASEBALL JR/SOFTBALL,OUTDOOR,-87.63832013,41.76200536,2497
POINT (-87.63805916836591 41.76047384589714),1070,HAMILTON (ALEXANDER),9,BASEBALL JR/SOFTBALL,OUTDOOR,-87.63805917,41.76047385,2498
POINT (-87.63674047085053 41.76111277329123),1071,HAMILTON (ALEXANDER),9,BASEBALL JR/SOFTBALL,OUTDOOR,-87.63674047,41.76111277,2499
POINT (-87.63590549765895 41.76192461597598),1072,HAMILTON (ALEXANDER),9,POOL (OUTDOOR),OUTDOOR,-87.6359055,41.76192462,2500
POINT (-87.63686292204719 41.762619836704644),1073,HAMILTON (ALEXANDER),9,PLAYGROUND,OUTDOOR,-87.63686292,41.76261984,2501
POINT (-87.63660514606869 41.763128250431386),1074,HAMILTON (ALEXANDER),9,SPRAY FEATURE,OUTDOOR,-87.63660515,41.76312825,2502
POINT (-87.63842974935352 41.761198555792596),1075,HAMILTON (ALEXANDER),9,BASEBALL SR,OUTDOOR,-87.63842975,41.76119856,2503
POINT (-87.63700301506425 41.76191238441746),1076,HAMILTON (ALEXANDER),9,BASEBALL SR,OUTDOOR,-87.63700302,41.76191238,2504
POINT (-87.63562214879518 41.76304673325655),1077,HAMILTON (ALEXANDER),9,TENNIS COURT,OUTDOOR,-87.63562215,41.76304673,2505
POINT (-87.63583036536332 41.763038553672075),1078,HAMILTON (ALEXANDER),9,TENNIS COURT,OUTDOOR,-87.63583037,41.76303855,2506
POINT (-87.63601325403111 41.76303966384863),1079,HAMILTON (ALEXANDER),9,TENNIS COURT,OUTDOOR,-87.63601325,41.76303966,2507
POINT (-87.63617086599159 41.763045341836865),1080,HAMILTON (ALEXANDER),9,TENNIS COURT,OUTDOOR,-87.63617087,41.76304534,2508
POINT (-87.6363411406826 41.763046374948345),1081,HAMILTON (ALEXANDER),9,TENNIS COURT,OUTDOOR,-87.63634114,41.76304637,2509
POINT (-87.6363508713471 41.76273005964721),1082,HAMILTON (ALEXANDER),9,TENNIS COURT,OUTDOOR,-87.63635087,41.76273006,2510
POINT (-87.636161676572 41.762728911743324),1083,HAMILTON (ALEXANDER),9,TENNIS COURT,OUTDOOR,-87.63616168,41.76272891,2511
POINT (-87.63599770849729 41.76272791664568),1084,HAMILTON (ALEXANDER),9,TENNIS COURT,OUTDOOR,-87.63599771,41.76272792,2512
POINT (-87.68030436442538 41.936757147743485),1085,HAMLIN (HANNIBAL),106,BASKETBALL COURT,OUTDOOR,-87.68030436,41.93675715,2513
POINT (-87.67917786526051 41.936548653703746),1086,HAMLIN (HANNIBAL),106,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,-87.67917787,41.93654865,2514
POINT (-87.68032910445994 41.936043077957656),1088,HAMLIN (HANNIBAL),106,DOG FRIENDLY AREA,OUTDOOR,-87.6803291,41.93604308,2516
POINT (-87.67982968491654 41.93748111168034),1089,HAMLIN (HANNIBAL),106,FITNESS CENTER,INDOOR,-87.67982968,41.93748111,2517
POINT (-87.68024830956924 41.93708948019406),1090,HAMLIN (HANNIBAL),106,GYMNASIUM,INDOOR,-87.68024831,41.93708948,2518
POINT (-87.67866497811566 41.936961553541146),1091,HAMLIN (HANNIBAL),106,BASEBALL JR/SOFTBALL,OUTDOOR,-87.67866498,41.93696155,2519
POINT (-87.67962215442053 41.936216304503155),1092,HAMLIN (HANNIBAL),106,BASEBALL JR/SOFTBALL,OUTDOOR,-87.67962215,41.9362163,2520
POINT (-87.68022837812177 41.93736144821292),1093,HAMLIN (HANNIBAL),106,POOL (OUTDOOR),OUTDOOR,-87.68022838,41.93736145,2521
POINT (-87.67930194093866 41.9374891114527),1094,HAMLIN (HANNIBAL),106,PLAYGROUND,OUTDOOR,-87.67930194,41.93748911,2522
POINT (-87.67961856447113 41.93690964102255),1095,HAMLIN (HANNIBAL),106,BASEBALL SR,OUTDOOR,-87.67961856,41.93690964,2523
POINT (-87.67866522108915 41.93625516387237),1096,HAMLIN (HANNIBAL),106,BASEBALL SR,OUTDOOR,-87.67866522,41.93625516,2524
POINT (-87.68039319621427 41.93626239706366),1097,HAMLIN (HANNIBAL),106,TENNIS COURT,OUTDOOR,-87.6803932,41.9362624,2525
